  time  	       Re(rho11)       	       Im(rho11)       	       Re(rho12)       	       Im(rho12)       	       Re(rho21)       	       Im(rho21)       	       Re(rho22)       	       Im(rho22)       	#paths
0.000000	+1.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	     3
0.125000	+9.844562108553219e-01	+0.000000000000000e+00	+3.002402436043419e-02	-1.177431121626898e-01	+3.002402436043419e-02	+1.177431121626898e-01	+1.554378914467760e-02	+0.000000000000000e+00	     9
0.250000	+9.443503265939976e-01	+0.000000000000000e+00	+9.969278438516108e-02	-1.888175034237530e-01	+9.969278438516108e-02	+1.888175034237530e-01	+5.564967340600127e-02	+0.000000000000000e+00	    27
0.375000	+8.940880294832508e-01	-2.602085213965211e-18	+1.687622916815687e-01	-2.011683268185068e-01	+1.687622916815686e-01	+2.011683268185068e-01	+1.059119705167475e-01	+2.602085213965211e-18	    81
0.500000	+8.465025373571005e-01	+3.469446951953614e-18	+2.114910945288756e-01	-1.740708680222779e-01	+2.114910945288755e-01	+1.740708680222779e-01	+1.534974626428973e-01	-3.469446951953614e-18	   243
0.625000	+8.081295456760488e-01	+1.040834085586084e-17	+2.264939228529871e-01	-1.325912773724212e-01	+2.264939228529871e-01	+1.325912773724212e-01	+1.918704543239486e-01	-1.040834085586084e-17	   729
0.750000	+7.802940241982086e-01	-3.469446951953614e-18	+2.249162908437923e-01	-9.187164490485175e-02	+2.249162908437924e-01	+9.187164490485178e-02	+2.197059758017879e-01	+3.469446951953614e-18	  2187
0.875000	+7.619217390964014e-01	-4.336808689942018e-19	+2.179012143133439e-01	-5.722921862983807e-02	+2.179012143133439e-01	+5.722921862983808e-02	+2.380782609035949e-01	+4.336808689942018e-19	  6561
1.000000	+7.513187842880075e-01	-3.290553593493506e-17	+2.119581647587959e-01	-2.959145857707912e-02	+2.119581647587960e-01	+2.959145857707909e-02	+2.486812157119882e-01	+3.290553593493506e-17	 19171
1.125000	+7.467267092866952e-01	+7.085261197192771e-17	+2.084497280426216e-01	-1.187193514471700e-02	+2.084497280426217e-01	+1.187193514471682e-02	+2.532732907133008e-01	-7.085261197192771e-17	 52905
1.250000	+7.458476842944641e-01	+4.119968255444917e-17	+2.061920916782597e-01	-7.262646429825306e-04	+2.061920916782599e-01	+7.262646429822442e-04	+2.541523157055303e-01	-4.119968255444917e-17	135675
1.375000	+7.469978059956471e-01	+5.030698080332741e-17	+2.047872801853016e-01	+5.078759258246796e-03	+2.047872801853016e-01	-5.078759258246955e-03	+2.530021940043471e-01	-5.030698080332741e-17	322545
1.500000	+7.488719253929614e-01	-2.748452507250754e-17	+2.039376674167510e-01	+6.700418838025858e-03	+2.039376674167513e-01	-6.700418838026361e-03	+2.511280746070294e-01	+2.748452507250754e-17	714195
1.625000	+7.505051433051982e-01	+1.974603206639225e-17	+2.034282198894983e-01	+5.199330072022744e-03	+2.034282198894980e-01	-5.199330072022780e-03	+2.494948566947945e-01	-1.974603206639225e-17	1483641
1.750000	+7.512299701812303e-01	+4.510281037539698e-17	+2.031116713230386e-01	+1.516546553447282e-03	+2.031116713230372e-01	-1.516546553448194e-03	+2.487700298187719e-01	-4.510281037539698e-17	2913387
1.875000	+7.506301389634786e-01	+9.367506770274758e-17	+2.028936244796072e-01	-3.543236537677491e-03	+2.028936244796078e-01	+3.543236537676852e-03	+2.493698610365126e-01	-9.367506770274758e-17	5445441
