  time  	       Re(rho11)       	       Im(rho11)       	       Re(rho12)       	       Im(rho12)       	       Re(rho21)       	       Im(rho21)       	       Re(rho22)       	       Im(rho22)       	#paths
0.000000	+1.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	     3
0.150000	+9.776682445628024e-01	+0.000000000000000e+00	+4.248000868256351e-02	-1.375995060372943e-01	+4.248000868256351e-02	+1.375995060372943e-01	+2.233175543719698e-02	+0.000000000000000e+00	     9
0.300000	+9.237059995421227e-01	+0.000000000000000e+00	+1.305503780403786e-01	-2.011159360111178e-01	+1.305503780403786e-01	+2.011159360111178e-01	+7.629400045787610e-02	+0.000000000000000e+00	    27
0.450000	+8.633651094848339e-01	+0.000000000000000e+00	+1.994560326520827e-01	-1.883741712525810e-01	+1.994560326520827e-01	+1.883741712525810e-01	+1.366348905151646e-01	+0.000000000000000e+00	    81
0.600000	+8.135946668687779e-01	-3.469446951953614e-18	+2.264517653772146e-01	-1.412575457668988e-01	+2.264517653772146e-01	+1.412575457668988e-01	+1.864053331312198e-01	+3.469446951953614e-18	   243
0.750000	+7.789945017848203e-01	+5.963111948670274e-18	+2.259735834584367e-01	-9.183970703611974e-02	+2.259735834584368e-01	+9.183970703611974e-02	+2.210054982151769e-01	-5.963111948670274e-18	   729
0.900000	+7.580219191221115e-01	-5.637851296924623e-18	+2.174796973769122e-01	-5.103731307084550e-02	+2.174796973769122e-01	+5.103731307084549e-02	+2.419780808778851e-01	+5.637851296924623e-18	  2187
1.050000	+7.477372826822053e-01	+8.673617379884035e-18	+2.114747093131064e-01	-2.035971314096066e-02	+2.114747093131064e-01	+2.035971314096070e-02	+2.522627173177904e-01	-8.673617379884035e-18	  6561
1.200000	+7.450914911382148e-01	-2.081668171172169e-17	+2.106731340217080e-01	+9.014758076741035e-06	+2.106731340217080e-01	-9.014758076797413e-06	+2.549085088617799e-01	+2.081668171172169e-17	 19683
1.350000	+7.469691516707854e-01	+1.387778780781446e-16	+2.140163556191385e-01	+9.969149358282508e-03	+2.140163556191383e-01	-9.969149358282333e-03	+2.530308483292097e-01	-1.387778780781446e-16	 58025
1.500000	+7.503419718105692e-01	-2.677979366039196e-17	+2.181430514665961e-01	+1.002210032677853e-02	+2.181430514665963e-01	-1.002210032677829e-02	+2.496580281894271e-01	+2.677979366039196e-17	163835
1.650000	+7.526045018905628e-01	-1.084202172485504e-16	+2.208505741407409e-01	+3.619505502078457e-03	+2.208505741407407e-01	-3.619505502077902e-03	+2.473954981094283e-01	+1.084202172485504e-16	435185
1.800000	+7.522660868009108e-01	+8.673617379884035e-19	+2.223466731980255e-01	-5.697494710222892e-03	+2.223466731980246e-01	+5.697494710222908e-03	+2.477339131990891e-01	-8.673617379884035e-19	1080275
1.950000	+7.488598943378483e-01	-7.161155349266757e-17	+2.229427955947204e-01	-1.549112300470657e-02	+2.229427955947216e-01	+1.549112300470658e-02	+2.511401056621383e-01	+7.161155349266757e-17	2508665
2.100000	+7.425719032780848e-01	+3.989863994746656e-16	+2.229496171143874e-01	-2.422021463362138e-02	+2.229496171143860e-01	+2.422021463362160e-02	+2.574280967219069e-01	-3.989863994746656e-16	5475947
2.250000	+7.339572414637360e-01	-8.326672684688674e-17	+2.226198114651485e-01	-3.103783532378140e-02	+2.226198114651476e-01	+3.103783532378123e-02	+2.660427585362550e-01	+8.326672684688674e-17	11302721
